City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Talnakh,RU,69.4865,88.3972,31.21,81,77,4.0,broken clouds
250,Galle,LK,6.0367,80.217,79.3,85,78,8.08,broken clouds
251,Pringsewu,ID,-5.3582,104.9744,73.98,94,100,0.47,overcast clouds
252,Altamira,BR,-3.2033,-52.2064,76.51,80,80,2.68,broken clouds
253,Hambantota,LK,6.1241,81.1185,79.41,84,83,14.12,broken clouds
254,Ordynskoye,RU,54.3656,81.8994,61.57,72,2,11.99,clear sky
255,Jitra,MY,6.2681,100.4217,76.91,94,20,0.0,few clouds
256,Niltepec,MX,16.5667,-94.6167,85.32,64,95,8.23,overcast clouds
257,Liaozhong,CN,41.5061,122.7242,54.88,74,100,4.61,overcast clouds
258,Ati,TD,13.2154,18.3353,87.75,12,96,6.96,overcast clouds
259,Kattivakkam,IN,13.2167,80.3167,85.06,77,9,16.49,clear sky
260,Yenagoa,NG,4.9247,6.2642,74.77,95,99,3.24,light rain
261,Katobu,ID,-4.9408,122.5276,80.62,82,100,2.21,overcast clouds
262,Airai,TL,-8.9266,125.4092,66.11,77,99,3.15,overcast clouds
263,Syracuse,IT,37.0881,15.2792,67.59,60,32,1.34,scattered clouds
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.73,79,0,9.84,clear sky
265,Skibbereen,IE,51.55,-9.2667,56.1,92,84,15.97,broken clouds
266,Impfondo,CG,1.6381,18.0667,70.77,98,99,0.87,light rain
267,Haines Junction,CA,60.7522,-137.5108,58.95,29,84,6.91,broken clouds
268,Krasnoselkup,RU,65.7,82.4667,40.03,71,2,9.62,clear sky
269,Abu Samrah,SY,35.3029,37.1841,67.42,42,0,3.69,clear sky
270,Huarmey,PE,-10.0681,-78.1522,64.49,85,18,7.27,few clouds
271,Honiara,SB,-9.4333,159.95,85.77,67,12,3.38,few clouds
272,El Sauzal,MX,31.9,-116.6833,66.78,67,32,5.14,scattered clouds
273,Killam,CA,52.7834,-111.8518,67.95,30,85,5.75,overcast clouds
274,Kavieng,PG,-2.5744,150.7967,83.62,68,100,7.29,overcast clouds
275,Vestmanna,FO,62.1564,-7.1664,45.52,76,75,13.8,light rain
276,Ialibu,PG,-6.2821,143.9935,66.54,69,66,2.84,broken clouds
277,Seydi,TM,39.4816,62.9137,75.33,37,45,20.6,scattered clouds
278,Marawi,PH,7.9986,124.2928,74.43,83,85,0.58,light rain
279,Zaozerne,UA,45.1582,33.2787,57.69,79,63,9.91,broken clouds
280,The Pas,CA,53.8251,-101.2541,69.82,35,75,10.36,broken clouds
281,Basse-Pointe,MQ,14.8695,-61.115,80.65,62,96,13.11,overcast clouds
282,Sioux Lookout,CA,50.1001,-91.917,60.87,44,100,9.22,overcast clouds
283,Maralal,KE,1.0968,36.698,57.85,87,99,0.2,overcast clouds
284,Sotnikovskoye,RU,45.0039,43.7772,50.16,79,21,5.3,few clouds
285,Angoche,MZ,-16.2325,39.9086,70.38,80,0,6.55,clear sky
286,Tsogni,GA,-2.7942,10.0988,72.68,93,14,4.7,few clouds
287,Cayenne,GF,4.9333,-52.3333,83.08,1,0,3.44,clear sky
288,Cincu,RO,45.9167,24.8,58.5,92,55,21.0,moderate rain
289,Craigieburn,AU,-37.6,144.95,58.96,86,75,20.71,broken clouds
290,Nanortalik,GL,60.1432,-45.2371,33.62,81,6,10.13,clear sky
291,Muyezerskiy,RU,63.9333,31.65,37.45,91,100,4.14,overcast clouds
292,The Valley,AI,18.217,-63.0578,82.26,74,40,12.66,scattered clouds
